frequency,mfpt,success_rate,filter_gain,is_schumann
6.0,7.449996666444431,0.32,0.7984711550997486,False
6.2,7.450621708113875,0.32,0.7888407529801083,False
6.4,7.451371758117209,0.32,0.7792515464964364,False
6.6,7.4506842122808195,0.32,0.7697155356186471,False
6.8,7.450434195613042,0.32,0.7602435571065732,False
7.0,7.451246749783319,0.32,0.7508453442860591,False
7.2,7.451246749783319,0.32,0.7415295888833533,False
7.4,7.450309187279153,0.32,0.7323040038535273,False
7.6,7.451059237282486,0.32,0.7231753863028637,False
7.8,7.449871658110542,0.32,0.7141496797568295,False
8.0,7.4487465831055415,0.32,0.7052320351631289,False
8.2,7.449621641442763,0.32,0.6964268701428818,False
8.4,7.449996666444431,0.32,0.6877379261122237,False
8.6,7.44887159143943,0.32,0.6791683229919915,False
8.8,7.450621708113875,0.32,0.6707206113053886,False
9.0,7.451059237282487,0.32,0.6623968215335397,False
9.2,7.450996733115542,0.32,0.6541985106576816,False
9.4,7.45068421228082,0.32,0.6461268058655152,False
9.6,7.451059237282486,0.32,0.6381824454390519,False
9.8,7.451559270618042,0.32,0.6303658168732129,False
10.0,7.450184178945264,0.32,0.6226769922994999,False
